MÊS,2014,2015,2016,2017,2018,2019
01 - JAN,3589387,3804729,3674326,3447322,3763902,4004634
02 - FEV,2954750,2994581,2972749,2790148,3070211,
03 - MAR,3172143,3100006,2948159,3037730,3378986,
04 - ABR,3170158,3075647,2846967,2845364,3320989,
05 - MAI,3128800,3094241,2870786,2921197,3389600,
06 - JUN,3043624,3016587,2837694,2903515,3270866,
07 - JUL,3522828,3617078,3358541,3498686,3982423,
08 - AGO,3364311,3303752,3034686,3220790,3571140,
09 - SET,3258976,3161001,2923838,3153049,3452948,
10 - OUT,3472270,3274197,3039886,3278261,3571611,
11 - NOV,3299370,3079369,2901244,3151656,3578579,
12 - DEZ,3563375,3462591,3197487,3518180,3879177,
